HALE COUNTY HOSPITAL,508 GREEN STREET GREENSBORO AL
ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE WETUMPKA AL
D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE BREWTON AL
THOMAS HOSPITAL,750 MORPHY AVENUE FAIRHOPE AL
CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE TALLADEGA AL
J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE CAMDEN AL
BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM AL
TRINITY MEDICAL CENTER,800 MONTCLAIR RD BIRMINGHAM AL
PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR PRATTVILLE AL
PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE CARROLLTON AL
BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE UNION SPRINGS AL
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST DEMOPOLIS AL
MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE MOBILE AL
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM 995 9TH AVENUE SOUTHWEST BESSEMER
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY SELMA AL
MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE  BOX 886 MONROEVILLE
LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E HALEYVILLE AL
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH TROY AL
JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE JACKSON AL
NORTH BALDWIN INFIRMARY,1815 HAND AVENUE BAY MINETTE AL
ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY PELL CITY AL
CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE HUNTSVILLE AL
HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE YORK AL
BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM AL
SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET MOBILE AL
RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD JACKSONVILLE AL
EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE EVERGREEN AL
BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD MONTGOMERY AL
BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET BIRMINGHAM AL
L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE GREENVILLE AL
SHOALS HOSPITAL,201 WEST AVALON AVENUE MUSCLE SHOALS AL
RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43 RUSSELLVILLE AL
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST SYLACAUGA AL
JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE PHENIX CITY AL
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE ATMORE AL
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD MONTGOMERY AL
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD TUSCALOOSA AL
WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE CHATOM AL
RED BAY HOSPITAL,211 HOSPITAL ROAD RED BAY AL
CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE  PO BOX 618 BUTLER
ST VINCENTS BLOUNT,150 GILBREATH DRIVE ONEONTA AL
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,1700 CENTER STREET MOBILE AL
PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604 ANCHORAGE AK
MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP PALMER AK
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR JUNEAU AK
FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET FAIRBANKS AK
ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD ANCHORAGE AK
YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287 BETHEL AK
ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR ANCHORAGE AK
MT EDGECUMBE HOSPITAL,222 TONGASS DR SITKA AK
SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE SITKA AK
PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE KODIAK AK
NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966) NOME AK
KANAKANAK HOSPITAL,P O BOX 130 DILLINGHAM AK
PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE KETCHIKAN AK
ABRAZO MARYVALE CAMPUS,5102 WEST CAMPBELL AVENUE PHOENIX AZ
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,1111 EAST MCDOWELL ROAD PHOENIX AZ
TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD TUCSON AZ
CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE SOLDOTNA AK
PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550 VALDEZ AK
PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE  PO BOX 365 SEWARD
PETERSBURG MEDICAL CENTER, PO BOX 589 PETERSBURG AK
WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081 WRANGELL AK
CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE CORDOVA AK
SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST BARROW AK
SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST HOMER AK
TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD TUCSON AZ
VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE COTTONWOOD AZ
ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD TUCSON AZ
ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD TUCSON AZ
YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD PRESCOTT AZ
YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A YUMA AZ
JOHN C LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE PHOENIX AZ
BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD CASA GRANDE AZ
MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET PHOENIX AZ
FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET FLAGSTAFF AZ
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD PHOENIX AZ
ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD PHOENIX AZ
BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE PAYSON AZ
CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD CHANDLER AZ
ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET PHOENIX AZ
SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD SCOTTSDALE AZ
CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90 SIERRA VISTA AZ
KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD KINGMAN AZ
BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD SUN CITY AZ
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD SHOW LOW AZ
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE TUCSON AZ
BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD MESA AZ
MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE SAFFORD AZ
HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE LAKE HAVASU CITY AZ
FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649 FORT DEFIANCE AZ
TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600 TUBA CITY AZ
SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548 SELLS AZ
SAN CARLOS INDIAN HOSPITAL,223 CIBECUE CIRCLE ROAD SAN CARLOS AZ
PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET PHOENIX AZ
ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD PHOENIX AZ
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191  HOSPITAL ROAD CHINLE
NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD TUCSON AZ
SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD SCOTTSDALE AZ
BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE MESA AZ
BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD GLENDALE AZ
HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE PHOENIX AZ
BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD SUN CITY WEST AZ
ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE GLENDALE AZ
WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD BULLHEAD CITY AZ
MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD PHOENIX AZ
BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE MESA AZ
ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD MESA AZ
"CORE INSTITUTE SPECIALTY HOSPITAL, THE 6501 NORTH 19TH AVENUE PHOENIX
ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD GOODYEAR AZ
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY TUCSON AZ
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,2905 WEST WARNER ROAD CHANDLER AZ
WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860) WHITERIVER AZ
ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD ORO VALLEY AZ
BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD PHOENIX AZ
VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95 FORT MOHAVE AZ
YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,7700 EAST FLORENTINE ROAD PRESCOTT VALLEY AZ
MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE GILBERT AZ
GILBERT HOSPITAL,5656 SOUTH POWER ROAD GILBERT AZ
"MOUNTAIN VISTA MEDICAL CENTER, LP 1301 SOUTH CRISMON ROAD MESA
BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD GILBERT AZ
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,7400 EAST THOMPSON PEAK PARKWAY SCOTTSDALE AZ
PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD PHOENIX AZ
BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD SAN TAN VALLEY AZ
O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET PHOENIX AZ
"FLORENCE HOSPITAL AT ANTHEM, LLC 4545 NORTH HUNT HIGHWAY FLORENCE
BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE APACHE JUNCTION AZ
DIGNITY HEALTH - ARIZONA  GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE LAVEEN AZ
VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE TUCSON AZ
VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH PRESCOTT AZ
WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE WICKENBURG AZ
BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE BENSON AZ
NORTHERN COCHISE COMMUNITY HOSPITAL,901 WEST REX ALLEN DRIVE WILLCOX AZ
COCHISE REGIONAL HOSPITAL,2174 WEST OAK AVENUE DOUGLAS AZ
PAGE HOSPITAL,501 NORTH NAVAJO DRIVE PAGE AZ
HOPI HEALTH CARE CENTER,"HIGHWAY 264  MILEPOST 388 POLACCA
SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191 PO BOX 457 GANADO AZ
LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE WINSLOW AZ
COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE BISBEE AZ
HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD NOGALES AZ
COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE GLOBE AZ
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE SPRINGERVILLE AZ
LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD PARKER AZ
PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD PHOENIX AZ
SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE SILOAM SPRINGS AR
JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET CLARKSVILLE AR
WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD FAYETTEVILLE AR
CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE LITTLE ROCK AR
MERCY HOSPITAL NORTHWEST ARKANSAS,2710 RIFE MEDICAL LANE ROGERS AR
CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET DANVILLE AR
WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE SEARCY AR
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET MENA AR
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612 LITTLE ROCK AR
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET HARRISON AR
SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET VAN BUREN AR
FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD FORREST CITY AR
ST BERNARDS MEDICAL CENTER,225 E JACKSON JONESBORO AR
NORTHWEST MEDICAL CENTER-SPRINGDALE,609 WEST MAPLE AVENUE SPRINGDALE AR
CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET HOT SPRINGS AR
BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE MOUNTAIN HOME AR
CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE CONWAY AR
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE NORTH LITTLE ROCK AR
ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY PARAGOULD AR
ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET RUSSELLVILLE AR
FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE POCAHONTAS AR
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE CAMDEN AR
DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE MONTICELLO AR
SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE FORT SMITH AR
ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE FORT SMITH AR
MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE MAGNOLIA AR
GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET BLYTHEVILLE AR
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE PINE BLUFF AR
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD STUTTGART AR
NORTH METRO MEDICAL CENTER,1400 BRADEN STREET JACKSONVILLE AR
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,1001 SCHNEIDER DRIVE MALVERN AR
NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE HOT SPRINGS AR
UNITY HEALTH HARRIS MEDICAL CENTER,1205 MCLAIN STREET NEWPORT AR
SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE BENTON AR
HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE HELENA AR
MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET EL DORADO AR
FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE FAYETTEVILLE AR
VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET LITTLE ROCK AR
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630  EXIT 7 LITTLE ROCK
NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE JONESBORO AR
WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET BATESVILLE AR
LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVE HOT SPRINGS AR
"ARKANSAS HEART HOSPITAL, LLC 1701 S SHACKLEFORD ROAD LITTLE ROCK
ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE SHERWOOD AR
ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE NO LITTLE ROCK AR
PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE FAYETTEVILLE AR
WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN HOPE AR
NORTH LOGAN MERCY HOSPITAL,500 EAST ACADEMY PARIS AR
RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET DARDANELLE AR
MERCY HOSPITAL TURNER MEMORIAL,801 WEST RIVER STREET OZARK AR
"EUREKA SPRINGS HOSPITAL, LLC 24 NORRIS STREET EUREKA SPRINGS
ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY,1341 WEST SIXTH STREET WALDRON AR
COMMUNITY MEDICAL CENTER IZARD COUNTY,103 GRASSE STREET CALICO ROCK AR
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD WYNNE AR
MCGEHEE HOSPITAL,900 SOUTH THIRD STREET MCGEHEE AR
LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN WALNUT RIDGE AR
STONE COUNTY MEDICAL CENTER,2106 EAST MAIN STREET MOUNTAIN VIEW AR
HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE NASHVILLE AR
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,1800 BYPASS ROAD HEBER SPRINGS AR
OZARK HEALTH,2500 HIGHWAY 65 SOUTH CLINTON AR
"DEWITT HOSPITAL & NURSING HOME, INC 1641 WHITEHEAD DRIVE DE WITT
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE OSCEOLA AR
DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET FORDYCE AR
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN BOONEVILLE AR
"DE QUEEN MEDICAL CENTER, INC 1306 WEST COLLIN RAYE DRIVE DE QUEEN
LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET ASHDOWN AR
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,3050 TWIN RIVERS DRIVE ARKADELPHIA AR
FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET SALEM AR
ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD CROSSETT AR
CHI ST VINCENT MORRILTON,#4 HOSPITAL DRIVE MORRILTON AR
DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH DUMAS AR
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET WARREN AR
CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82 LAKE VILLAGE AR
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET BERRYVILLE AR
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE PIGGOTT AR
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,1101 JACKSON STREET SW GRAVETTE AR
ARKANSAS CHILDREN'S HOSPITAL,800 MARSHALL STREET SLOT 301 LITTLE ROCK AR
ST ROSE HOSPITAL,27200 CALAROGA AVE HAYWARD CA
ST JOSEPH HOSPITAL,2700 DOLBEER ST EUREKA CA
MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE BURLINGAME CA
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVE SAN FRANCISCO CA
QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST NAPA CA
ST HELENA HOSPITAL,10 WOODLAND ROAD SAINT HELENA CA
SUTTER AMADOR HOSPITAL,200 MISSION BLVD JACKSON CA
MERCY GENERAL HOSPITAL,4001 J ST SACRAMENTO CA
PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST LOS ANGELES CA
RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE RIVERSIDE CA
PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST NATIONAL CITY CA
UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE SAN DIEGO CA
GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58 LA MESA CA
MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD ARCATA CA
OROVILLE HOSPITAL,2767 OLIVE HIGHWAY OROVILLE CA
BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888 BAKERSFIELD CA
SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE SAN JOSE CA
ENLOE MEDICAL CENTER,1531 ESPLANADE CHICO CA
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE SYLMAR CA
ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE RED BLUFF CA
ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE OAKLAND CA
EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE EL CENTRO CA
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET SAN FRANCISCO CA
SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE BANNING CA
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET SAN FRANCISCO CA
ANTELOPE VALLEY HOSPITAL,1600 W AVE J LANCASTER CA
KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE VISALIA CA
